cascade_id,video_url,label,event_title,french,spanish,russian,arabic
f115,https://www.youtube.com/watch?v=ol4xMGgAbKE,fake,Airstrike against oil storage near al-Thawra,frappe aérienne contre le stockage d'huile près de al-Thawra,ataque aéreo contra el almacenamiento de petróleo cerca de al-thawra,авиаудар против хранения нефти вблизи Аль-Саура,غارة جوية ضد لتخزين النفط بالقرب صحيفة الثورة
f116,https://www.youtube.com/watch?v=FPfPNwhB7Ec,fake,Airstrike against oil storage near Khafsa Kabir,raid aérien contre le stockage de pétrole près khafsa kabir,ataque aéreo contra el almacenamiento de petróleo cerca de khafsa kabir,авиаудар против хранения нефти вблизи khafsa кабира,غارة جوية ضد لتخزين النفط بالقرب khafsa الكبير
f117,https://www.youtube.com/watch?v=4hiTDNCYTxs,fake,Strike carried out by the Russian Aerospace Forces on oil storage near Maarrat al-Numan,grève déclenchée par les forces de l'aérospatiale russe sur le stockage de pétrole près de Maarrat al-Numan,huelga llevada a cabo por las fuerzas aeroespaciales rusas en el almacenamiento de petróleo cerca de Maarrat al-Numan,Забастовка проводится российских аэрокосмических сил на нефтехранилища вблизи maarrat аль-Ньюмана,نفذ ضربة من قبل قوات الفضاء الروسية على تخزين النفط بالقرب maarrat النعمان
f118,https://www.youtube.com/watch?v=2jo6HEy6fJ4,fake,Russian aviation hit an ISIS fortified strong point (Idlib province),l'aviation russe a frappé un point fort fortifié isis (Idlib province),ruso de la aviación alcanzó un punto fuerte fortificado Isis (Idlib provincia),России авиация поражал ISIS укрепленный опорный пункт (Идлиб область),ضرب الطيران الروسية محصنة وإيزيس نقطة قوية (محافظة إدلب)
f119,https://www.youtube.com/watch?v=ARcSIQDv9eI,fake,Strike against an ISIS militants' training camp (Idlib province),grève contre un camp d'entraînement de militants isis (Idlib province),huelga contra el campo de entrenamiento de ISIS militantes (Idlib provincia),Забастовка против тренировочного лагеря Isis боевиков (Идлиб провинции),إضراب ضد معسكر تدريب لمسلحين إيزيس "(إدلب محافظة)
f120,https://www.youtube.com/watch?v=kW9RqQYGa0Y,fake,Airstrike on terrorists' ammunition depot (Raqqah province),raid aérien sur le dépôt de munitions de terroristes (province de Raqqa),ataque aéreo sobre depósito de municiones terroristas (Raqqah provincia),авианалет на складе боеприпасов террористов (Raqqah область),غارة جوية على مستودع للذخيرة الإرهابيين (محافظة الرقة)
f121,https://www.youtube.com/watch?v=wOgJQ6Lcsds,fake,Airstrike on a strong point (Lattakia province),raid aérien sur un point fort (Lattakia province),ataque aéreo en un punto fuerte (lattakia provincia),авианалет на сильной точке (Латакия область),غارة جوية على نقطة قوية (اللاذقية محافظة)
f122,https://www.youtube.com/watch?v=xb1Vj5P3hJY,fake,Airstrike against hangar with 10 cars fitted with explosive devices in Eastern Guta,raid aérien contre hangar avec 10 voitures équipées de dispositifs explosifs dans l'est Guta,ataque aéreo contra hangar con 10 coches equipado con dispositivos explosivos en guta oriental,авиаудар против ангара 10 автомобилей оснащен взрывными устройствами в восточной Гуте,غارة جوية ضد حظيرة مع 10 سيارات مزودة عبوات ناسفة في guta الشرقي
f123,https://www.youtube.com/watch?v=ka_Qe6p75Wk,fake,Su-34 performed strike against a plant,which produced explosive devices in Aleppo province,su-34 effectué grève contre une usine qui produit des engins explosifs dans la province alep,su-34 realiza huelga contra una planta,que produce artefactos explosivos en Alepo provincia,су-34 выполнен удар против завода,который произвел взрывные устройства в провинции АЛЕППО,يقوم سو 34 ضربة ضد المصنع الذي ينتج عبوات ناسفة في حلب محافظة
f124,https://www.youtube.com/watch?v=1q458uRROPI,fake,Pinpoint strike with a smart bomb KAB-500 against a single building,the underground floor of which,hosted a meeting of illegal armed groups' command operating in the Idlib province,mettre le doigt sur la grève avec un KAB-500 bombe intelligente contre un seul bâtiment,le sous-sol dont,a organisé une réunion de commandement de groupes armés illégaux opérant dans la province Idlib,identificar huelga con un cab-500 bomba inteligente contra un solo edificio,la planta subterránea de los cuales,acogió una reunión del comando de grupos armados ilegales que operan en la provincia de Idlib,точно удар умной бомбы КАБ-500 против одного здания,подземный этаж которого прошла встреча командования незаконных вооруженных формирований,работающий в Идлиб провинции,استضافت تحديد إضراب مع القنبلة الذكية KAB-500 ضد مبنى واحد، وطابق تحت الأرض منها، اجتماعا للقيادة الجماعات المسلحة غير المشروعة "التي تعمل في محافظة إدلب
f125,https://www.youtube.com/watch?v=5hfQ0aALNK4,fake,Elimination of a militants' strong point (Aleppo province),élimination d'un point fort de militants (alep province),eliminación de punto fuerte a militantes (alepo provincia),устранение сильной точки А боевики (алеяя область),القضاء على نقطة قوية للمتشددين (حلب محافظة)
f126,https://www.youtube.com/watch?v=Toh7EKvo08s,fake,Pinpoint strike with BETAB-500 concrete-piercing air bombs on a bunker of ISIS terrorists in the Lattakia province.,mettre le doigt sur la grève avec betab-500 bombes d'air en béton perçant sur un bunker de terroristes isis dans la province de Lattaquié.,identificar huelga con 500 Betab bombas de aire concretas perforante en un búnker de terroristas Isis en la provincia lattakia.,точно удар betab-500 бетонных прокалывания авиабомб на бункере Исиды террористов в Латакии провинции.,تحديد إضراب مع betab 500 قنابل جوية خارقة للخرسانة على مخبأ للإرهابيين إيزيس في محافظة اللاذقية.
f127,https://www.youtube.com/watch?v=V1Zu47o_rcQ,fake,Airstrike on an isis armament and ammunition depot near Idlib.,raid aérien sur un armement et isis dépôt de munitions près de Idlib.,ataque aéreo contra un armamento Isis y depósito de municiones cerca de Idlib.,Авиаудар на Isis вооружения и склад боеприпасов возле Идлиб.,غارة جوية على التسلح إيزيس ومستودع للذخيرة بالقرب من إدلب.
f128,https://www.youtube.com/watch?v=e-WJOHfwpEM,fake,Pinpoint airstrike of a Su-34 bomber on an ISIS command centre near Aleppo.,identifier frappe aérienne d'un bombardier su-34 sur un centre de commande isis près d'Alep.,identificar ataque aéreo de un bombardero Su-34 en un centro de mando Isis cerca de Alepo.,точно авиаудар бомбардировщика Су-34 на команду ISIS центре возле Халеб.,تحديد غارة جوية مفجر سو 34 على مركز قيادة إيزيس قرب حلب.
f129,https://www.youtube.com/watch?v=wZQlkoCzWao,fake,Precision strikes of Su-24M bombers against an ISIS transfer point with underground facilities located in mountain-woody area near Salma settlement (Lattakia province).,frappes de précision des bombardiers su-24m contre un point de transfert de isis avec des installations souterraines situées dans la zone montagne boisée près de la colonie de salma (province Lattakia).,ataques de precisión de bombarderos SU-24m en contra de un punto de transferencia de Isis con instalaciones subterráneas localizadas en zona de montaña-leñosa cerca del asentamiento de salma (provincia lattakia).,высокоточные удары су-24м бомбардировщиков против точки передачи Исиды подземных сооружений,расположенных в горно-лесистой местности в районе поселка Сальма (Латакия провинции).,الضربات الدقيقة المفجرين سو-24M ضد نقطة نقل إيزيس مع منشآت تحت الأرض تقع في منطقة جبلية بالقرب من مستوطنة الخشبية سلمى (محافظة اللاذقية).
f130,https://www.youtube.com/watch?v=1IicR7-Xjt8,fake,Airstrikes against an ISIS training camp in the Idlib province.,frappes aériennes contre un camp d'entraînement de la province dans isis Idlib.,ataques aéreos contra un campo de entrenamiento de Isis en la provincia de Idlib.,авиаудары против ISIS тренировочного лагеря в Идлиб провинции.,الضربات الجوية ضد معسكر تدريب إيزيس في محافظة إدلب.
f131,https://www.youtube.com/watch?v=MH-IAt3Ih28,fake,Jets of the Russian Aerospace Forces hit positions of terrorists’ detachment in Latakia province. The ammunition detonated at the underground ammunition depot. The ISIS terrorists lost their opportunity to conduct active warfare.,jets des forces aérospatiales russes ont frappé des positions de détachement de terroristes dans la province de Lattaquié. les munitions a explosé au dépôt de munitions souterrain. les terroristes isis ont perdu leur chance de mener une guerre active.,chorros de las fuerzas aeroespaciales rusa llegan a posiciones de desprendimiento terroristas en la provincia de Latakia. la munición detonada en el depósito de municiones subterráneo. los terroristas ISIS perdieron su oportunidad de conducir la guerra activa.,Струи российских аэрокосмических сил ударили позицию отряда террористов в Латакии провинции. боеприпасы взорвались в подземном складе боеприпасов. Изида террористы утратили возможность вести активную войну.,طائرات للقوات الفضاء الروسية ضربت مواقف مفرزة الإرهابيين في محافظة اللاذقية. الذخيرة انفجرت في مستودع للذخيرة تحت الأرض. فقد الإرهابيين إيزيس فرصة لإجراء حرب فعلية.
f132,https://www.youtube.com/watch?v=jSrywwIiOwI,fake,Russian Aerospace Forces eliminated strong point of the “Islamic State” terrorists located near Dokmak. Direct hit of the air bombs caused large-scale fire. Armament,hardware and materiel of the militants,which were on the positions,were destroyed.,les forces de l'aérospatiale russe éliminé point fort des « terroristes » Etat islamique situés près dokmak. coup direct des bombes aériennes a provoqué un incendie à grande échelle. l'armement,le matériel et le matériel des militants,qui se trouvaient sur les positions,ont été détruits.,las fuerzas aeroespaciales rusos eliminaron punto fuerte de los terroristas “Estado islámico” situados cerca de dokmak. el impacto directo de las bombas de aire causado incendios a gran escala. armamento,hardware y material de los militantes,que estaban en las posiciones,fueron destruidos.,российские аэрокосмические силы устранены сильная сторона «исламского государство» террористы,расположенных вблизи dokmak. Прямое попадание воздушных бомб вызвали крупномасштабный пожар. вооружения,оборудования и материальных средств боевиков,которые были на позициях,были уничтожены.,قضت قوات الفضاء الروسية نقطة قوية للإرهابيين "الدولة الإسلامية" التي تقع بالقرب دقماق. تسببت إصابة مباشرة من القنابل الجوية النار على نطاق واسع. التسليح والأجهزة والمعدات من المسلحين، والتي كانت على المناصب، قد دمرت.
f133,https://www.youtube.com/watch?v=Lb2qPqoG4LE,fake,Strike against fire positions of the ISIS detachment near Achan (Hama province). Air bomb direct hit at fortifications and shelters of terrorists caused position destruction and inflamed the vehicles and patrol storages.,frapper contre des positions de tir du détachement de près isis Acan (province hama). bombe aérienne a frappé directement à des fortifications et des abris de terroristes a causé la destruction de position et enflammé les véhicules et les magasins de patrouille.,huelga contra las posiciones de fuego de la separación Isis cerca achan (provincia de Hama). bomba de aire golpe directo en fortificaciones y refugios de terroristas causó la destrucción posición y inflama los vehículos y almacenes de patrulla.,ударяются огневых позиций Isis отряда вблизи Ахан (HAMA провинции). авиабомба прямого удара по укреплениям и укрытиям террористов вызвала разрушение позиции и воспаленная транспортные средства и патрульные хранилища.,ضرب النار على مواقع للانفصال إيزيس بالقرب عخان (محافظة حماة). تسببت قنبلة الهواء مباشرة ضرب في التحصينات والملاجئ الإرهابيين تدمير موقف واشعلت السيارات والمخازن دورية.
f134,https://www.youtube.com/watch?v=pBEkjj9PL5I,fake,Aleppo district struck at the base of fighters,district alep a frappé à la base des combattants,distrito de Alepo golpeó en la base de los combatientes,алеий район нанес удар по базе боевиков,ضربت منطقة حلب في قاعدة المقاتلين
f135,https://www.youtube.com/watch?v=xNPzmtYc7bc,fake,Strike against a terrorists’ training camp located near Tertiyah (Idlib),grève contre un camp d'entraînement de terroristes situé près tertiyah (Idlib),huelga contra el campo de entrenamiento a los terroristas situado cerca tertiyah (Idlib),забастовка против обучения лагере террористов,расположенной вблизи tertiyah (Идлиб),إضراب ضد معسكر تدريب للارهابيين تقع بالقرب tertiyah (إدلب)
f136,https://www.youtube.com/watch?v=xYYcJA34KLg,fake,Strike made by the Russian combat aviation against the ISIS fortified area to the south of Tertiyah.,grève faite par l'aviation de combat russe contre la zone fortifiée isis au sud de tertiyah.,huelga hecha por la aviación de combate ruso contra el área fortificada Isis al sur de tertiyah.,удар производится российской боевой авиации против Isis укрепленного района к югу от tertiyah.,إضراب التي أدلى بها الطيران القتالية الروسية ضد منطقة محصنة إيزيس إلى الجنوب من tertiyah.
f137,https://www.youtube.com/watch?v=Ape5grS9MEM,fake,Strike of the Russian Air Force against camouflaged ISIS base in the forest,grève de la force aérienne russe contre la base isis camouflé dans la forêt,huelga de la Fuerza Aérea de Rusia contra la base Isis camuflado en el bosque,Забастовка российских военно-воздушных сил против замаскированной Isis базы в лесу,ضربة للقوات الجوية الروسية ضد قاعدة إيزيس مموهة في الغابة
f138,https://www.youtube.com/watch?v=T3k6_MMuMqw,fake,Airstrike on the ISIS POL depot near Khan al-Asal.,raid aérien sur le dépôt pol isis près khan al-Asal.,ataque aéreo en el depósito de Isis pol cerca de Khan al-asal.,Авиаудар на Изида пол- депо возле хана аль-ASAL.,غارة جوية على مستودع إيزيس بول قرب خان العسل.
f139,https://www.youtube.com/watch?v=MtMRLwnG03Q,fake,Russian air strike against the ISIS command centre near Tamana. Smashed concrete and fire confirms the total elimination of the target.,russe frappe aérienne contre le centre de commandement isis près Tamana. le béton et le feu écrasé confirme l'élimination totale de la cible.,ataque aéreo ruso contra el centro de mando Isis cerca de Tamana. hormigón roto y el fuego confirma la eliminación total del objetivo.,русский воздушный удар против команды ISIS центра возле Tamana. разбили бетон и огонь подтверждает полную ликвидацию цели.,غارة جوية الروسية ضد مركز قيادة إيزيس بالقرب تامانا. الخرسانة المحطمة والنار تؤكد القضاء التام على الهدف.
f140,https://www.youtube.com/watch?v=Stnn5ZaZKJk,fake,Airstrike against the ISIS fortifications near Tamana. Direct hit resulted in detonation of munitions and total destruction of the militants’ strong point.,raid aérien contre les fortifications de près isis Tamana. coup direct a donné lieu à la détonation des munitions et la destruction totale des points forts des militants.,ataque aéreo contra las fortificaciones cerca de ISIS tamana. golpe directo resultó en la detonación de municiones y la destrucción total de los puntos fuertes de los militantes.,авиаудар против Исиды укреплений в районе Tamana. Прямое попадание в результате детонации боеприпасов и полного уничтожения сильной точки боевиков.,غارة جوية ضد التحصينات إيزيس بالقرب تامانا. أدى إصابة مباشرة في تفجير الذخائر والتدمير الكامل للنقطة قوية للمسلحين.
f141,https://www.youtube.com/watch?v=9HdQhByZoUE,fake,Airstrike on an ISIS HQ near Dayr Hafir (Aleppo).,frappe aérienne sur une hq isis près de dayr hafir (alep).,ataque aéreo contra un cuartel general cerca de Isis dayr hafir (Alepo).,авианалет на Isis возле штаб-квартиры Дейр-Хафир (алеппо).,غارة جوية على مقر إيزيس قرب دير حافر (حلب).
f142,https://www.youtube.com/watch?v=rW3zK52scJM,fake,Strike against an ISIS ammunition depot (Homs).,frapper contre un dépôt de munitions isis (homs).,golpear contra un depósito de municiones Isis (Homs).,удар против ISIS склада боеприпасов (Хомс).,بضرب مستودع للذخيرة إيزيس (حمص).
f143,https://www.youtube.com/watch?v=UyeAE_ryCQM,fake,Earlier featured footage of #ISIS vehicles destruction is now confirmed by militants radio talks and other reconnaissance sources.,précédemment présenté des images de destruction des véhicules #isis est maintenant confirmé par des militants parle de radio et d'autres sources de reconnaissance.,cantidad ofrecida antes de la destrucción de vehículos #isis se ha confirmado por militantes conversaciones de radio y otras fuentes de reconocimiento.,ранее признакам кадры разрушения #isis транспортных средств в настоящее время подтверждено боевиками радио переговоров и других источников разведки.,وأكد لقطات ظهرت في وقت سابق من تدمير مركبات #isis الآن من محادثات الراديو المتشددين ومصادر استطلاع الأخرى.
f144,https://www.youtube.com/watch?v=c_ahV2zV_dc,fake,Airstrike against an ISIS reactive artillery position near Jisr al-Shughur (Idlib).,frappe aérienne contre une position d'artillerie réactif isis près Jisr al-Shughur (Idlib).,ataque aéreo contra una posición de artillería reactiva Isis cerca de Jisr al-Shughur (Idlib).,авиаудар против Isis реактивной артиллерии позиции вблизи Джиср-эш-Шугур (Idlib).,غارة جوية ضد مواقع مدفعية رد الفعل إيزيس قرب جسر الشغور-(إدلب).
f145,https://www.youtube.com/watch?v=n25APqilDIA,fake,Airstrike against a large concentration of ISIS military hardware hidden in the forest was made after confirmation of presence of militants in that area.,raid aérien contre une grande concentration de matériel militaire isis caché dans la forêt a été faite après la confirmation de la présence de militants dans ce domaine.,ataque aéreo contra una gran concentración de material militar Isis escondido en el bosque se hizo después de la confirmación de la presencia de militantes en esa zona.,авиаудар против большой концентрации Isis военной техники,скрытой в лесу был сделан после подтверждения присутствия боевиков в этом районе.,وقدم غارة جوية ضد تركيز كبير من المعدات العسكرية إيزيس مخبأة في الغابة بعد التأكد من تواجد المسلحين في تلك المنطقة.
f146,https://www.youtube.com/watch?v=rTg9Uv94-Yg,fake,Airstrike on an ISIS column of tanker trucks (Aleppo province),raid aérien sur une colonne isis de camions-citernes (alep province),ataque aéreo sobre una columna de Isis de camiones cisterna (Alepo provincia),авианалет на колонке Isis из автоцистерн (Халеб провинция),غارة جوية على عمود إيزيس الشاحنات الناقلة (حلب محافظة)
f147,https://www.youtube.com/watch?v=zmfEUXAUecE,fake,Strike of the Russian aviation against a large ISIS depot (Idlib province),grève de l'aviation russe contre un grand dépôt de isis (Idlib province),huelga de la aviación rusa contra un gran depósito de Isis (Idlib provincia),Забастовка российской авиации против большого Isis депо (Идлиб провинция),إضراب الطيران الروسية ضد مستودع إيزيس كبير (محافظة إدلب)
f148,https://www.youtube.com/watch?v=4UggbqKnzAM,fake,ISIS executioner 'Jihadi John' killed in air strike,bourreau isis « djihadiste john » tué frappe aérienne,Isis verdugo 'yihadista john' muerto en ataque aéreo,ISIS палача Эмвази "убит в авиаудара,إيزيس الجلاد "جون الجهادي" قتلوا في غارة جوية
f149,https://www.youtube.com/watch?v=p2EcrZ5Mc2Y,fake,ISIS savages gun down 200 Syrian children in horrifying mass execution video,isis sauvages arme 200 enfants dans l'exécution de masse syrian horrifiant vidéo,Isis salvajes arma 200 niños sirios en vídeo ejecución en masa horrible,Isis дикарей пистолет 200 сирийских детей в ужасающем видео массового исполнения,إيزيس المتوحشين المسدس 200 طفل سوري في مرعب فيديو إعدام جماعي
f150,https://www.youtube.com/watch?v=CK7Qyt1U59o,fake,RAF Tornado strike on Daesh weapons storage 15 February 2016,grève de la tornade raf sur daesh stockage des armes 15 février 2016,huelga tornado raf en daesh de almacenamiento de armas 15 february el año 2016,RAF Торнадо удар по daesh хранения оружия 15 февраля 2016,إضراب اعصار سلاح الجو الملكي البريطاني على daesh تخزين الأسلحة 15 فبراير 2016
f151,https://www.youtube.com/watch?v=nRCj2DVrboE,fake,Muslim Migrants Push Car Down Metro Stairwell,migrants musulmans poussent voiture vers le bas cage d'escalier métro,migrantes musulmanes empujan el coche hacia abajo escalera de metro,Мусульманские мигранты толкать машину вниз лестницы метро,المهاجرين بنت دفع السيارة إلى أسفل الدرج المترو
f152,https://www.youtube.com/watch?v=LJqK5zxSkkI,fake,Muslims push a car down a subway stairs at the Metro in Brussels and burn the Christmas tree,musulmans pousser une voiture vers le bas d'un escalier de métro à la station de métro à Bruxelles et brûler l'arbre de Noël,musulmanes empujar un coche abajo de escaleras del metro en el metro en Bruselas y quemar el árbol de navidad,мусульманите толкать машину вниз по лестнице в метро в метро в Брюсселе и сжечь елку,المسلمين دفع السيارة إلى أسفل الدرج مترو الانفاق في المترو في بروكسل وحرق شجرة عيد الميلاد
f153,https://www.youtube.com/watch?v=bTpidxUy41M,fake,Sniper killing ISIS fighters,sniper tuant des combattants isis,francotirador matar a los combatientes ISIS,снайпер убивает Isis боевиков,قناص قتل المقاتلين إيزيس
f154,https://www.youtube.com/watch?v=HjgcdFtcj-E,fake,Donald Trump Rips Marine's Hat Off,donald trump déchire le chapeau de marine au large,Donald Trump arranca el sombrero de marina frente,Donald козырем срывает шапку десантника от,دونالد ترامب مزقت قبعة البحرية قبالة
f155,https://www.youtube.com/watch?v=llJWNNU9EEA,fake,Putin Salutes Pigeon,putin pigeon salue,Putin saluda paloma,путин салюты голубя,بوتين يحيي حمامة
f156,https://www.youtube.com/watch?v=gjDT1Ur4kq8,fake,Trump Just Sent FEDS Into CHICAGO,atout vient d'envoyer Fédéraux à Chicago,Trump acaba de enviar federales en Chicago,козырем просто послал федералы в чикаго,ورقة رابحة فقط أرسل الفيدرالية في شيكاغو
f157,https://www.youtube.com/watch?v=an_nNqjNUIo,fake,Donald Trump Bombs Afghanistan M.O.A.B. GBU-43,donald bombes atout afghanistan m.o.a.b. GbU-43,m.o.a.b. Donald bombas de triunfo Afganistán GBU-43,Donald Trump бомбы афганистан m.o.a.b. GBU-43,دونالد ترامب القنابل أفغانستان m.o.a.b. GBU-43
f158,https://www.youtube.com/watch?v=P3alkDsoHNc,fake,Hi Steve,salut Steve,Hola Steve,привет стив,مرحبا ستيف
f159,https://www.youtube.com/watch?v=kcnzkqVIu_Q,fake,Trump buys mother's kids,atout achète les enfants de la mère,Trump compra hijos de la madre,козырем покупает ребенок матери,ورقة رابحة يشتري أطفال الأم
f160,https://www.youtube.com/watch?v=ibUNzW9jGR8,fake,CNN producers staging protest,producteurs cnn mise en scène de protestation,los productores de CNN puesta en escena de protesta,производители постановка протеста CNN,سي إن إن المنتجين تنظيم احتجاج
f161,https://www.youtube.com/watch?v=Q8AQler0Dq0,fake,Pope Francis slaps Donald Trump's Hand For Touching Him,pape francis gifles la main pour l'emporter sur le donald toucher,Francisco golpea la mano de Donald Trump para tocarlo,Франциск хлопает рукой Дональда Трампа за прикасаясь к нему,البابا فرنسيس الصفعات ناحية دونالد ترامب للمس له
f162,https://www.youtube.com/watch?v=oxOPg7IQm2w,fake,Woman defecates on Trump sign and rubs it with her hand,femme défèque sur signe atout et il frotte sa main,Mujer defeca en señal de triunfo y se frota con la mano,женщина испражняется на козырную знак и растирает его с ее стороны,امرأة يتبرز على علامة رابحة والتدليك مع يدها
f163,https://www.youtube.com/watch?v=Vx-1LQu6mAE,fake,Varoufakis and ZDF,Varoufakis et ZDF,Varoufakis y ZDF,varoufakis и ZDF,varoufakis وZDF
f164,https://www.youtube.com/watch?v=XIdaEoBuu3Q,fake,Donald Trump's attacker tied with ISIS,l'agresseur de donald trump à égalité avec isis,El atacante de Donald Trump atado con ISIS,Атакующий Дональдом Трампом связали с Исидой,المهاجم دونالد ترامب وتعادل مع إيزيس
f165,https://www.youtube.com/watch?v=_CdJ4oae8f4,fake,Self-Driving Uber running red light,auto-entraînement über exécutant lumière rouge,súper auto-conducción luz corriente roja,самостоятельное вождение супер работает красный свет,القيادة الذاتية اوبر تشغيل الضوء الأحمر
f166,https://www.youtube.com/watch?v=SNPJMk2fgJU,fake,Prototype Quadrotor with Machine Gun,quadrirotor prototype avec mitrailleuse,quadrotor prototipo con la ametralladora,Прототип quadrotor с пулеметом,النموذج quadrotor مع مدفع رشاش
f167,https://www.youtube.com/watch?v=3zBDkYiupvc,fake,3D Printed Croquembouche,3d imprimé Croquembouche,3d croquembouche impreso,3d печататься Croquembouche,3D croquembouche المطبوعة
f168,https://www.facebook.com/tribe7s/videos/667333080091232/,fake,Crazy Tech: A ball that retrieves itself,fou tech: une balle qui se récupère,tecnología loca: una bola que se recupera en sí,сумасшедшая технология: шар,который извлекает себя,مجنون التكنولوجيا: الكرة التي تسترد نفسها
f169,https://www.youtube.com/watch?v=5tqH-Un9SFU,fake,Secret Hack To Get Headphone Jack on the iPhone 7,bidouille secret pour obtenir la prise casque sur l'iPhone 7,truco secreto para conseguir toma de auriculares del iPhone 7,Секрет хак,чтобы получить гнездо для наушников на Iphone 7,الإختراق السري للحصول على سماعة رأس جاك فون 7
f170,https://www.youtube.com/watch?v=MIa94J9cKoA,fake,Cyclist Girl Gets Revenge On Catcalling Van Driver,fille cycliste se venge sur pilote van sifflets,chica ciclista se venga en el conductor de la furgoneta catcalling,велосипедист девушка получает отомстить catcalling ван водителя,الدراج الفتاة تحصل على الانتقام من catcalling فان سائق
f171,https://www.youtube.com/watch?v=2gIex0pd96U,fake,bad day,mauvais jour,mal día,плохой день,يوم سيء
f172,https://www.youtube.com/watch?v=bOkZPQwPz8E,fake,You spent £2,000 on chicken fillets,vous avez dépensé £ 2000 sur les filets de poulet,que pasó de 2.000 £ en los filetes de pollo,вы потратили 2000 £ на курином филе,قضيت 2000 £ على شرائح الدجاج
f173,https://www.facebook.com/freshmemeserryday/videos/416189661818764/,fake,Worst Twerk Fail EVER - Girl Catches Fire!,pire Twerk jamais échouer - fille attrape le feu!,peor twerk fallar nunca - niña se prende fuego!,худший twerk неудачу когда-либо - девушка ловит огонь!,أسوأ twerk تفشل أي وقت مضى - فتاة المصيد النار!
f174,https://www.facebook.com/AdamSalehOfficial/videos/616048861921044/,fake,Adam saleh got kicked out speaking diffrent language in Delta Airplane,adam saleh fait virer parlant la langue diffrent dans le delta avion,Adam Saleh fue expulsado de hablar la lengua diversa de avión Delta,адам Салех выкинул говоря diffrent языка треугольника самолета,آدم صالح حصلت على طرد يتحدث اللغة ديفرينت في طائرة دلتا
f175,https://www.youtube.com/watch?v=GtrBZJ9pYC0,fake,pauly shore punched,rivage pauly poinçonné,orilla Pauly perforado,Pauly берег перфорированный,بولي الشاطئ لكمات
f176,https://www.youtube.com/watch?v=8_imQQdav-Q,fake,I just caught Banksy on camera!,Je viens de prendre Banksy à la caméra!,i acaba atrapado Banksy en la cámara!,я только что поймал Бэнкси на камеру!,أنا فقط اشتعلت بانكسي على الكاميرا!
f177,https://www.youtube.com/watch?v=KCF7Gt90gkk,fake,Walmart Throws Away Good Food,walmart jette la bonne nourriture,walmart tira a la basura buena comida,Walmart выбрасывает хорошую еду,يلقي وول مارت بعيدا الطعام الجيد
f178,https://www.youtube.com/watch?v=W8SK0rk5jdE,fake,Ultimate Batting Practice,frappeurs pratique ultime,la práctica de bateo última,Конечная практика ватина,ممارسة الضرب في نهاية المطاف
f179,https://www.youtube.com/watch?v=GLT9_K0WBfM,fake,Ultimate Batting Practice,frappeurs pratique ultime,la práctica de bateo última,Конечная практика ватина,ممارسة الضرب في نهاية المطاف
f180,https://www.facebook.com/anwnation/videos/10155633090029395/,fake,American Ninja Warrior - old man,guerrier ninja américain - vieil homme,El guerrero americano guerrero - anciano,Американский ниндзя воин - старик,محارب النينجا امريكي - رجل يبلغ من العمر
f181,https://www.youtube.com/watch?v=3wAjpMP5eyo,fake,Slip and Fly - Amazing Waterslide Jump!,glisser et voler - incroyable saut waterslide!,deslizarse y volar - increíble salto tobogán!,скольжения и летать - удивительный прыжок горки!,تنزلق والطيران - قفزة مائية مذهلة!
f182,https://www.facebook.com/handytoyota/videos/10153411974693429/,fake,The Pope's Astonishing Feat,exploit étonnant du pape,del Papa asombrosa hazaña,Удивительно подвиг папы,الفذ المدهش البابا
f183,https://www.facebook.com/AmericanaMedia/videos/1422771991353931/,fake,Somali Pirates VS Ship's Private Security Guards,Les pirates somaliens contre des gardes de sécurité privés de navires,Los piratas somalíes frente a los guardias de seguridad privada de la nave,Сомалийские пираты против частных охранников корабля,قراصنة صوماليون مقابل حراس الأمن الخاص السفينة
f184,https://www.youtube.com/watch?v=TCwwgVFu_WE,fake,HUMAN SACRIFICE AT CERN,sacrifice humain au CERN,sacrificio humano en el CERN,человеческие жертвы в ЦЕРН,التضحية البشرية في سيرن
f185,https://www.youtube.com/watch?v=Gpa5S8DgPzs,fake,friends (2018) Movie Teaser Trailer,amis (2018) bande-annonce teaser de film,amigos trailer (2018) película,Друзья (2018) фильм тизер,أصدقاء دعابة مقطورة (2018) فيلم
f186,https://www.facebook.com/djflipthaboss/videos/1773135242931134/,fake,Man has a seizure in Walmart then gets his wallet stolen,l'homme a une saisie walmart obtient alors son portefeuille volé,el hombre posee una convulsión en walmart después consigue su cartera robada,человек припадок в Walmart затем получает его бумажник украден,رجل لديه الاستيلاء في وول مارت ثم يحصل محفظته سرقت
f187,https://www.youtube.com/watch?v=jauN_VU-9qE,fake,Manila Philippines casino robbery,vol casino manila philippines,Manila Filipinas robo del casino,манильской филиппины ограбление казино,مانيلا الفلبين كازينو السرقة
f188,https://www.youtube.com/watch?v=C_TBE1aPHzg,fake,Spaghetti O's: How to open a can the epic way,o spaghetti de: comment ouvrir une boîte la manière épique,espaguetis o de: cómo abrir una lata de la manera épica,Спагетти Выходов: как открыть банку эпический путь,السباغيتي س: كيف لفتح الطريق يمكن ملحمة
f189,https://www.youtube.com/watch?v=dx9KpwVe8uk,fake,Man Dies In Ukrainian Got Talent Show,l'homme meurt en talent show UKRAINIEN obtenu,hombre muere en el concurso de talentos de Ucrania Got,человек умирает в украинском шоу Got Talent,وفاة رجل في الأوكرانية حصلت على اظهار المواهب
